Parameter,jgcamp3,jgcamp6f,jgcamp6s,jgcamp7b,jgcamp7c,jgcamp7f,jgcamp7s,,,,,,,
baseline,1.26124023090789,1.78674310853181E-18,2.37907131807461E-15,2.53310260732677E-15,4.80019717205392E-17,7.98133591088598E-15,3.33364882779148E-21,,,,,,,
A,75.214280711845,19.9590136035295,22.654512249548,21.0745664585901,53.5983007445702,23.3688937411118,21.3296814816241,,,,,,,
ec50,7.14065175067122,7.73917705057648,7.73239545063302,7.92481769718029,8.43607185421038,8.91555006545424,7.82885833532334,,,,,,,
n,2.65791032109037,2.8652000550703,2.91164313621831,2.86582256799699,2.93687535066622,2.48861283440072,3.03697660686516,,,,,,,
k,0.0127713269188239,0.0187993894899224,0.0177705697742949,0.02625962544633,0.0185607203268892,0.0212647070804271,0.0208902533647568,,,,,,,
K_d,287,290,147,82,298,174,68,,,,,,,
n_H,2.52,2.7,2.45,3.06,2.44,2.3,2.49,,,,,,,
dFF_max,12,25.2,27.2,22.1,145.6,30.2,40.4,,,,,,,
sigma_noise_rel,0.645112781955,1.24,1,0.25,0.39,0.72,0.33,,,,,,,
dFF_1AP_rel,0.2932330827,0.735,1,4.64,1.85,1.71,4.96,,,,,,,
ca_amp,0.05,76.1251,54.6943,,,,,,,,,,,
t_on,1,0.8535,0.4526,,,,,,,,,,,
t_off,1,98.6173,68.5461,,,,,,,,,,,
extra_doc,,,,,,,,,,,,,,
spectrum,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)","(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)","(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)","(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)","(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)","(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)","(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)",,,,,,,
