name,baseline,A,ec50,n,k,K_d,n_H,dFF_max,sigma_noise_rel,dFF_1AP_rel,ca_amp,t_on,t_off,spectrum
jgcamp3,1.26124023090789,75.214280711845,7.14065175067122,2.65791032109037,0.0127713269188239,287,2.52,12,0.645112781955,0.2932330827,0.05,1,1,"(500, 0.57), (520, 0.22), (540, 0.06), (560, 0.01), (800, 0.34), (844, 0.65), (920, 0.96), (940, 1), (960, 1), (1000, 0.57), (1040, 0.22), (1080, 0.06), (1120, 0.01)"
jgcamp6f,1.78674310853181E-18,19.9590136035295,7.73917705057648,2.8652000550703,0.0187993894899224,290,2.7,25.2,1.24,0.735,76.1251,0.8535,98.6173,"[(722.5306285543037, 0.8528374134147916), (730.5051124890293, 0.29170072710063244), (741.7533018901582, 0.4188357785139612), (752.3564542944194, 0.45917050294712386), (761.3926805425732, 0.9654519640321817), (772.9091596680628, 0.7570021081615971), (780.8008733686772, 1.264574280428516), (791.0986321505277, 1.9157380716774943), (800.5116056711881, 2.422664888353483), (812.2678330610003, 3.1183582153766727), (822.2031153003632, 4.532332315105623), (830.7712616038873, 5.39097792883879), (841.1403740358338, 6.614572129243213), (852.6996653513811, 8.356709546960374), (861.130812646721, 9.802628748440391), (871.7824855330475, 11.56703093404466), (880.1108835722491, 13.721873252161942), (891.5617173396505, 16.10646216065052), (901.5911863971402, 16.79634728735533), (911.7861959228525, 19.720130792066428), (920.5341534246185, 22.94303661317386), (932.0563408421158, 23.779094781224455), (941.8118118832369, 25.681280385492407), (950.3942289167802, 24.696467753732307), (960.7176750126653, 24.370240502516886), (970.6158533539783, 22.85042808587532), (981.0620277280284, 22.23572688551392), (991.1514338515988, 20.488103945273846), (1001.5776292036219, 14.183947855268253), (1010.3113159753688, 9.298283354128124), (1020.9915303217336, 5.8720905218775545), (1032.2539904528817, 2.640149722497096), (1042.0779609980948, 0.6643935808630556), (1050.02961176479, 0.4936970270619111), (1058.2038859197842, 0.36301251989846406), (1069.7060943152546, 0.15585337520974057), (1079.0362976018039, 0.15875747536892829)]"
jgcamp6s,2.37907131807461E-15,22.654512249548,7.73239545063302,2.91164313621831,0.0177705697742949,147,2.45,27.2,1,1,54.6943,0.4526,68.5461,"[(722.5306285543037, 0.8528374134147916), (730.5051124890293, 0.29170072710063244), (741.7533018901582, 0.4188357785139612), (752.3564542944194, 0.45917050294712386), (761.3926805425732, 0.9654519640321817), (772.9091596680628, 0.7570021081615971), (780.8008733686772, 1.264574280428516), (791.0986321505277, 1.9157380716774943), (800.5116056711881, 2.422664888353483), (812.2678330610003, 3.1183582153766727), (821.0671651908353, 4.854042077184529), (832.3695833660371, 5.779481994579013), (841.1574989118568, 6.934668502344792), (851.1441557792889, 8.771350514133287), (861.1422292307363, 10.645140472400293), (871.7139860289553, 12.403089102095255), (881.2953541638423, 15.060986103342941), (892.1097133723875, 17.36426020737426), (901.4741664109828, 18.19612356408381), (912.023090041171, 21.92595620186723), (920.4057168544457, 25.487673708213226), (931.3570750711752, 26.455384416813665), (940.9869636881275, 28.637008991954566), (950.7395805832448, 27.928408553112764), (960.8603823128572, 26.714817364367768), (970.9497884364275, 25.84358731661145), (980.2286170949076, 24.886847653056833), (990.6804997609653, 22.852686830443574), (1001.1751946170807, 16.609516843780924), (1009.8774857827852, 10.62545712687691), (1022.1845633513383, 7.073742632190337), (1030.7298764868317, 3.411026975863701), (1041.5899020314384, 1.265542313814912), (1049.5015947540796, 0.38592264337650045), (1058.2038859197842, 0.36301251989846406), (1069.7060943152546, 0.15585337520974057), (1079.0362976018039, 0.15875747536892829)]"
jgcamp7b,2.53310260732677E-15,21.0745664585901,7.92481769718029,2.86582256799699,0.02625962544633,82,3.06,22.1,0.25,4.64,-1,-1,-1,"[(812.2307291629503, 3.17966699651508), (821.6608275596338, 4.554597082992729), (833.4712837235189, 4.838876220797659), (842.3876358395114, 5.763993460396678), (852.1088571285864, 6.989201049778428), (861.9385359658073, 8.515144344533837), (871.7139860289553, 10.221787204749816), (880.733087401086, 12.061050638902035), (891.1393037310824, 14.26171320397539), (901.9079966035663, 14.99451447747709), (911.3295325622382, 18.034139310760228), (920.4228417304687, 21.030847997246482), (930.5208102920506, 21.905627500752914), (940.3447808372638, 23.71746332229058), (950.4142079388071, 22.94626339112851), (960.8575281668534, 22.138923546874327), (970.730019194132, 21.46646302112464), (980.0887639407194, 20.706556812803854), (989.8984637559134, 19.313879447575612), (1002.4053315447352, 13.983887622079767), (1011.0619563743783, 9.348943768016177), (1019.7585392480753, 6.052467409542658), (1029.8821951236916, 3.1425590500365703), (1041.7354634776343, 1.0328916232844296), (1050.7288775357304, 0.3694660758077701), (1061.431925050126, 0.29073269371423655), (1070.462443006272, 0.161661575528116), (1081.4394885370361, 0.10616099470808416)]"
jgcamp7c,4.80019717205392E-17,53.5983007445702,8.43607185421038,2.93687535066622,0.0185607203268892,298,2.44,145.6,0.39,1.85,-1,-1,-1,"[(722.7418353585878, 0.0955126274577292), (722.8417304687222, 0.07453857075248461), (732.1747879012751, 0.7489351632749645), (743.3972899883694, 0.6353525792711784), (751.9854153139204, 0.851224024437465), (761.3042020164542, 1.052574968807813), (770.7913833332144, 1.030955556511638), (782.7045887532377, 1.393968076410102), (792.6998080586812, 2.008669276771501), (801.0995597479789, 2.0528761347502473), (811.7655033643246, 2.397173342511724), (823.1735249416683, 3.256141634040356), (833.9593426901754, 3.896334380243514), (842.3847816935075, 4.412296175192531), (851.0128650631123, 5.3186981026545626), (861.733037453531, 6.330292991438283), (872.1021498854774, 7.443531385793572), (882.1230565049555, 8.824915028180527), (891.4133017474509, 10.121757088155574), (901.505562017025, 10.57802349094351), (912.3884207296625, 12.932280686658348), (921.3333143056933, 14.582777610463365), (931.2429092310217, 15.17101923159661), (940.9726929581083, 15.972873553327883), (950.6710810791526, 16.163253452652413), (961.4140866376019, 15.491115604698189), (970.58731189394, 14.559222131394398), (980.5654063233605, 14.195564255905003), (990.1439203122436, 12.830314503291314), (1000.3503464219712, 9.088220109280213), (1011.0191441843208, 6.082476444520931), (1020.8973435036069, 3.871810867788151), (1030.2246926441521, 1.983823086520673), (1039.9430597872233, 0.7918513100718496), (1049.0563479774808, 0.30525319451017513), (1059.999143756199, 0.01806995654605688)]"
jgcamp7f,7.98133591088598E-15,23.3688937411118,8.91555006545424,2.48861283440072,0.0212647070804271,174,2.3,30.2,0.72,1.71,-1,-1,-1,"[(761.3042020164542, 1.052574968807813), (770.7913833332144, 1.030955556511638), (782.7045887532377, 1.393968076410102), (792.6998080586812, 2.008669276771501), (801.0995597479789, 2.0528761347502473), (811.7655033643246, 2.397173342511724), (822.7511113331002, 3.685303102009207), (834.3589231307128, 4.284838445983737), (841.8424939527781, 4.833068020479284), (851.3154045395192, 6.335778513961192), (861.3391653050012, 7.588736393752958), (872.3447522958037, 9.012068149550402), (881.5322482821609, 10.643849761218432), (893.0829771596966, 12.614765735920493), (902.2562024160346, 13.252377059759928), (912.3284836635818, 16.1187239168782), (921.8756020464227, 18.562040184141463), (931.1430141208873, 19.55104762724261), (940.7729027378396, 20.73237103644108), (949.1583836971181, 20.39388202899798), (961.1029847231835, 19.48167190121757), (970.638686522009, 18.921180570494343), (980.1287219847732, 17.90216409241492), (990.9373729013107, 16.636299100804543), (999.8508708712994, 11.52637353181603), (1010.7565627519675, 7.314782945402917), (1020.400722098939, 4.673019833928494), (1032.1141372986935, 2.1967904315277718), (1039.9430597872233, 0.7918513100718496), (1049.0563479774808, 0.30525319451017513), (1059.999143756199, 0.01806995654605688)]"
jgcamp7s,3.33364882779148E-21,21.3296814816241,7.82885833532334,3.03697660686516,0.0208902533647568,68,2.49,40.4,0.33,4.96,-1,-1,-1,"[(722.3650880860811, 0.8292819343458245), (731.7095621026493, 0.2362001462806006), (742.1471740386879, 0.26911328141806135), (752.188059680193, 0.4417459019919976), (762.3202779938208, 0.707632405455406), (771.9530207567768, 0.7389321516155402), (781.6085966877636, 1.1222733726283183), (792.208894946021, 1.7379426063761132), (802.0300113452304, 1.8841156477218948), (812.4904564492997, 2.2823000473260766), (821.8377846118718, 3.626253065439057), (831.5304644409084, 4.242244976982318), (841.6055998344596, 4.842425676547777), (852.6796863293541, 6.468076410101966), (862.5693022326557, 7.8284859957836765), (871.5141958086866, 9.188572903669922), (880.5646927868595, 10.890698274749386), (892.101150934376, 12.734156520242653), (901.5426659150748, 13.18558275609861), (911.3238242702305, 16.203265499290108), (921.3590016197279, 19.06703093404466), (930.175458625586, 19.976659639461342), (941.8945821173482, 21.68943337779116), (950.6511020571257, 21.07828163317988), (960.3980106602353, 20.0812072451921), (970.8184977202509, 19.421008475670092), (981.3759837884506, 18.810179408854278), (990.9973099673914, 17.690487458589683), (1000.4245542180711, 12.979391644796282), (1009.8603609067623, 8.532246267693498), (1020.9572805696876, 5.455836165727316), (1030.635689668705, 2.5701286408811255), (1041.418653271208, 1.1203373058555264), (1050.5690453595153, 0.3481693413070602), (1061.1208231357075, 0.2358774684851353), (1070.5937337224486, 0.19489738846104204), (1081.3652807409362, 0.03097706836466893)]"
gcamp6f-rs06,3.87556265515457E-17,18.26422,8.01746187594186,2.84529166994542,0.0196934810959702,320,3,15,1,1,-1,-1,-1,"[(501.19828841624565, 0.36809308576318495), (502.58984915769224, 0.47888513028446067), (504.06950612178855, 0.5763701836100598), (505.6408550727243, 0.7011411735652054), (506.6539616331961, 0.7873063824166232), (507.59020873411123, 0.8550474101045837), (508.0473202567376, 0.8854863627748839), (508.8878301360997, 0.9115949436879376), (509.26898114021685, 0.9552202803829566), (510.6798691141835, 0.9850389676026167), (511.9046762913288, 1.0), (513.7852609625861, 0.987818675733263), (514.8505061038097, 0.9505166007156026), (515.9224933028892, 0.9033764264669566), (517.3333812768559, 0.8483910429074369), (518.5172866363424, 0.7882712397842855), (519.6643354128836, 0.7275713736008133), (520.1592024595027, 0.6807757912691895), (521.8424695708455, 0.6024730213244965), (522.969741644343, 0.5358576605654753), (524.2871397493752, 0.4879881000924655), (526.036928498229, 0.4294476765889995), (527.2693766742777, 0.3866206445017488), (529.1184984088743, 0.3327034958849982), (531.4737239531831, 0.29695208449393806), (534.2820157854048, 0.2535507325449836), (538.0836374750544, 0.20909837524911126), (541.6416461408461, 0.18552828812478822), (543.9276532245016, 0.16989530148921142), (545.9224034087845, 0.1597068671425864), (547.9234461803995, 0.14602082483818538), (549.6035669980763, 0.13356382703783046)]"
gcamp6f-rs09,2.85204501698286E-22,12.9733633512606,7.7391785828427,2.86519888081679,0.0187994003737457,520,3.2,25,1,1,-1,-1,-1,"[(500.605436795455, 0.3803548148105606), (502.2599377932795, 0.48582865741245934), (503.4429442117186, 0.5773292977791051), (505.02912568993725, 0.7029158219378702), (506.3024756836447, 0.7886904932833293), (507.3964869383866, 0.8576088766877825), (507.79561676345264, 0.8906092959412816), (508.7669225652182, 0.9149202556872025), (509.15481562719117, 0.9548182564797639), (510.5845813631542, 0.9862048369218753), (511.9046762913288, 1.0014357996542596), (513.7852609625861, 0.987818675733263), (515.0860286582406, 0.9531929312711422), (515.9224933028892, 0.9033764264669566), (517.3333812768559, 0.8483910429074369), (518.5172866363424, 0.7882712397842855), (519.6643354128836, 0.7275713736008133), (520.1592024595027, 0.6807757912691895), (521.8424695708455, 0.6024730213244965), (522.969741644343, 0.5358576605654753), (524.2871397493752, 0.4879881000924655), (526.1223278977365, 0.43324393087486146), (527.6370435626832, 0.3897392013508003), (529.2816562089859, 0.3357990799395816), (531.4656334837562, 0.298008833039473), (534.3134787220654, 0.257559485179676), (538.502993473688, 0.20874804013347195), (541.7558116538718, 0.18549957213170304), (543.9847359810144, 0.17471384512890611), (546.3642329336042, 0.1597528127315227), (548.0439042807573, 0.1492025568720243), (549.5999712338864, 0.13638373755879601)]"
ogb-1,1.0,14.0,1,2.35,5.005E-19,170,250,1,14,1,-1,-1,-1,"[(404.1000, 0.0185257), (418.7864, 0.02774862582), (442.19659409356, 0.1071447126), (458.15952, 0.279336), (466.356973, 0.3667796), (477.815, 0.5367), (486.563484, 0.84773324744), (494.6006, 0.979509347), (500.241, 0.856321242), (505.62794, 0.6223309), (509.6853, 0.42577334), (512.01724506, 0.2932698802), (515.2106057, 0.202443916), (520.05691, 0.099532825778), (524.76094, 0.0434075583), (528.964432, 0.017627989), (534.9722, 0.0038757676202)]"
